name,lon,lat,x,y,z,cluster,color
"A1 Electronic Recycling,",-118.3514773,34.0412734,-0.3935012084598457,-0.7292406998842026,0.5597899611220619,6,#443983
"eWaste U.S. Electronics Recycling,",-118.42281,34.204152,-0.39364976514477223,-0.7273477569653192,0.562143311655475,31,#a2da37
"CAL E-WASTE RECYCLE LLC,",-118.6000354,34.2135694,-0.3958534514563214,-0.726045522711933,0.5622792401645945,31,#a2da37
"E -Waste LA (Data Destruction Company),",-118.4856892,34.2018167,-0.3944586824572571,-0.7269354462499628,0.5621096021413017,31,#a2da37
"pasadena tech recycle inc,",-118.4168123,34.2606906,-0.3933094541472984,-0.7269007296979552,0.5629591481119518,31,#a2da37
"TechWaste Recycling Inc.,",-117.8384794,33.7239286,-0.3883982025765185,-0.7354650689619817,0.5551918304262745,23,#2cb17e
"Electronic Waste Recycling Facility ECC, Inc.,",-117.2649496,33.21388990000001,-0.3832658153284813,-0.7436798093225689,0.5477660595605957,27,#5ec962
"ERI - Electronic Recyclers International,",-119.7768516,36.6877343,-0.39824401770361645,-0.6960251630830614,0.5974534916782054,12,#31688e
"Electronic Recycling Center,",-80.25504,25.824448,0.15235903632813277,-0.8871449152365324,0.4356152240442573,5,#46307e
"eWaste ePlanet | Electronics Recycling, Data Destruction and ITAD Services,",-84.22738559999999,33.93449200000001,0.08344948313733876,-0.8254689983537529,0.5582446744223923,20,#1f9e89
"Dream Electronic Recycling FREE E-WASTE DROP OFF \ PICK UP South Bay,",-117.1002034,32.6542829,-0.38354485938163463,-0.7495058130392647,0.5395686954061297,21,#20a486
"Electronics Recycling (Best Buy),",-118.3446513,34.0893835,-0.39319102316366084,-0.7288736283727729,0.5604855512555365,6,#443983
"Glendale Recycling Center,",-118.2590119,34.0891616,-0.3921021723283824,-0.7294624244398858,0.5604823438661091,6,#443983
"Secure E-Waste Destruction,",-118.2113685,33.7853098,-0.3928950618765656,-0.7323972146347572,0.5560825391506724,33,#c8e020
"Green Leaf Electronic & E-Waste Recycling,",-117.6720809,33.6645622,-0.3865275762934501,-0.737099015236612,0.5543297524956854,23,#2cb17e
"Surplus Recycling,",-118.4301037,34.2133371,-0.3936994439690153,-0.7272183814264775,0.5622758873844249,31,#a2da37
"Green Ewaste Recycling Center,",-121.8835752,37.4108362,-0.4195451016160542,-0.674458283829627,0.6075260744063328,19,#1f978b
"Global Electronic Recycling,",-112.0703562,33.69593819999999,-0.31261725027331605,-0.771027601483106,0.5547854473422672,35,#ece51b
"Arizona Electronic Recycle,",-111.9121508,33.61743429999999,-0.31077047689471854,-0.7725923621550815,0.5536449698410169,35,#ece51b
"Broadway Indoor Recycling Center,",-111.83506,33.408256,-0.3104804008026767,-0.7748809102665921,0.5506010312575039,7,#424186
"TechRec Recycling - Electronics Recycling,",-111.9576981,33.40098529999999,-0.3121643967488154,-0.7742793668695904,0.5504950966561595,7,#424186
"Tree of Life - Electronic Recycling,",-112.0039701,33.3921363,-0.31282145300293296,-0.7741058292648269,0.5503661541549849,7,#424186
"EVT Recycling,",-111.5404725,33.38042889999999,-0.30659039417857065,-0.7767156476962309,0.5501955405319577,34,#dae319
"Westech Recyclers,",-112.0645515,33.4454075,-0.31344741598374115,-0.7733000716361077,0.5511421927422234,7,#424186
"Agape Computer and Electronics Recycling,",-112.1047416,33.4718324,-0.3138940854032391,-0.7728444274586118,0.5515269658820269,7,#424186
"Electronic Recycling LLC,",-112.1308215,33.46679199999999,-0.3142641131698711,-0.7727464101977182,0.5514535816368358,7,#424186
"EWS | Electronics Recycling Service,",-112.1339227,33.4855538,-0.31423788540466036,-0.7725620888423906,0.5517267170075141,7,#424186
"Albuquerque Computer & Electronics Recycling Co,",-106.601978,35.1617606,-0.23358569478078867,-0.7834488437938527,0.5758868225197131,24,#35b779
"Ed's Recycling Center, Inc,",-103.1959892,34.3923748,-0.18837631413330708,-0.803399477892419,0.5648571883190815,16,#26828e
"Las Cruces Recycling Center,",-106.8174961,32.2945612,-0.24456930615315842,-0.8091595432280222,0.5342721105305621,17,#23898e
"Lucia Lane Recycling Center,",-106.0364449,35.6347131,-0.22452059326955132,-0.7811207958693006,0.582615486799312,0,#440154
"Santa Fe Solid Waste Management Agency’s,",-105.9790191,35.6932067,-0.2235737321758834,-0.780773212293473,0.5834449222042108,0,#440154
"New Mexico Recycling Coalition,",-105.9377966,35.6869812,-0.22302933914688275,-0.7809948174400078,0.5833566739238987,0,#440154
"E-Tech Recycle,",-106.6611384,35.191613,-0.23430845592724556,-0.7829196793134858,0.5763126956997031,24,#35b779
"W Silver Recycling, Inc. - Albuquerque,",-106.64444,35.1023042,-0.23433729225509373,-0.7838476603833606,0.5750381541863832,24,#35b779
"Earth Day Recycling Co,",-106.6291918,35.1352197,-0.23403410046216558,-0.7835933339071609,0.575508059784679,24,#35b779
"STS Electronic Recycling,",-96.7690561,32.8838551,-0.09898207971486321,-0.8339190913853041,0.5429378389083132,10,#375a8c
"Frisco Environmental Collection Center,",-96.8273538,33.15346510000001,-0.09952571174974123,-0.8312720028138734,0.5468834336844728,10,#375a8c
"United Electronic Recycling,",-97.00398419999999,32.9430407,-0.10233208730665133,-0.8329491241219131,0.5438050206939998,10,#375a8c
"E-Cycle Enterprises,",-96.8946619,32.8771697,-0.10081759109674768,-0.8337629831465693,0.5428398486293934,10,#375a8c
"Texas Electronics Recycling,",-96.8780134,32.8618783,-0.10059266554820027,-0.8339360462791287,0.5426156893734672,10,#375a8c
"Austin Recycle & Reuse Drop-off Center,",-97.73817129999999,30.2132704,-0.11635576886954095,-0.856289002757186,0.503220109701393,15,#287c8e
"Texas Electronic Recyclers,",-95.58273899999999,29.9389734,-0.08430137261810752,-0.8624471736737678,0.4990772998212129,4,#482878
"E & E Electronics recycling,",-95.4458264,29.819112,-0.08233915693341724,-0.8636836125767642,0.4972633915761786,4,#482878
"STS Electronics Recycling Sugar Land,",-95.6037848,29.6224713,-0.08488607533315033,-0.8651467074552552,0.49428284290865876,29,#7fd34e
"EverTrade Electronics Recycling Center,",-95.6237116,29.6702434,-0.0851465425327165,-0.8647066923035293,0.4950074772972767,29,#7fd34e
"Nevada State Recycle,",-115.162006,36.1497229,-0.3433229508252603,-0.7308559976192304,0.5898973318982172,32,#b5de2b
"Nevada Recycling,",-115.0214283,36.0634525,-0.3419040195737234,-0.7325001761886771,0.5886808416135928,2,#481668
"PedalPoint evTerra Recycling,",-115.129013,35.98764799999999,-0.3436092800006897,-0.732561381182088,0.5876108282681654,2,#481668
"Advanced Technology Recycling (ATR),",-115.193616,36.0451545,-0.34418382338746556,-0.7316394458274865,0.5884226516948802,2,#481668
"BB Recycling,",-115.1853474,36.0787172,-0.34393149435266335,-0.7313770645998451,0.5888961848829196,32,#b5de2b
"Dunn & Son-Electronic Recycler,",-115.1773029,36.1340222,-0.34358681936861896,-0.7309105749082192,0.5896760373658511,32,#b5de2b
"Nevada Recycling,",-115.0950393,36.24378960000001,-0.3420572865837249,-0.7303787265058457,0.5912222328047877,32,#b5de2b
"Sustain Vegas,",-115.1867236,36.1314064,-0.3437184491845345,-0.7308784326945807,0.589639164499859,32,#b5de2b
"Nevada State Recycle,",-115.162006,36.1497229,-0.3433229508252603,-0.7308559976192304,0.5898973318982172,32,#b5de2b
"Greener World Recycling,",-119.7032542,39.1873735,-0.38406020235990795,-0.6732403617416816,0.6318585097038706,25,#40bd72
"Sustain Vegas,",-115.1867236,36.1314064,-0.3437184491845345,-0.7308784326945807,0.589639164499859,32,#b5de2b
"Nevada Recycling,",-115.0214283,36.0634525,-0.3419040195737234,-0.7325001761886771,0.5886808416135928,2,#481668
"NV Recycling LLC,",-119.7008748,39.188014,-0.38402874369689316,-0.673250175036758,0.6318671741968883,25,#40bd72
"PedalPoint evTerra Recycling,",-115.129013,35.987648,-0.34360928000068963,-0.7325613811820879,0.5876108282681655,2,#481668
"BB Recycling,",-115.1854335,36.078715,-0.3439326030359391,-0.7313765682257525,0.5888961538499334,32,#b5de2b
"Nevada Recycling,",-115.0950232,36.2437766,-0.3420571382420194,-0.7303789441048409,0.5912220498137546,32,#b5de2b
"Advanced Technology Recycling (ATR),",-115.193616,36.0451545,-0.34418382338746556,-0.7316394458274865,0.5884226516948802,2,#481668
"Dunn & Son-Electronic Recycler,",-115.1773029,36.1340222,-0.34358681936861896,-0.7309105749082192,0.5896760373658511,32,#b5de2b
"US Battery Manufacturing Co,",-117.5343363,33.8795296,-0.3837902552506059,-0.7361767290216997,0.5574485300201137,23,#2cb17e
"Electro Battery Manufacturing Co,",-90.44327229999999,38.7161681,-0.006036422085292212,-0.7802305904913471,0.6254628584256078,13,#2e6f8e
"Battery Innovation Center, Inc.,",-86.9193055,38.9043626,0.04182205247539151,-0.777070711575581,0.6280223126117143,22,#25ab82
"BlueOvalSK Battery Park,",-85.8845077,37.5883111,0.05686929491325582,-0.790370794668061,0.6099835163607676,1,#460b5e
"Superior Battery Manufacturing Company, Inc.,",-84.9891901,37.0669259,0.06969432643166436,-0.7948824917788129,0.6027474803985017,28,#6ece58
"US Battery Mfg Co,",-82.123291,33.54465479999999,0.1142183021180448,-0.8255919632387051,0.5525867259507159,8,#3e4989
"US Battery Manufacturing Co,",-82.0072474,33.37056,0.1161231064526565,-0.8270178652883802,0.5500517017896006,8,#3e4989
"Toyota Battery Manufacturing,",-79.6403983,35.8924702,0.1456800807526086,-0.796912550454024,0.5862658961604164,14,#2b758e
"American Battery Solutions, Inc.,",-84.259261,39.5690389,0.07710675480692933,-0.7669914943973871,0.6370075320474687,18,#21918c
"Battery Factory,",-122.6178412,45.3981271,-0.3784962742717667,-0.5914322998390885,0.712003093440919,11,#34618d
Li-Cycle New York Spoke,-77.67829119999999,43.1981518,0.15556702822603807,-0.7121982539653456,0.6845235911037926,9,#3b528b
Quemetco Metals Ltd Inc,-111.7696764,32.87824409999999,-0.31147165135362753,-0.7799315426497277,0.5428555969897152,26,#4ec36b
ACE Green Recycling,-95.46281119999999,29.7386312,-0.0826615981528116,-0.8643536248087688,0.49604422330147663,29,#7fd34e
Redwood Materials,-119.7414856,39.204376,-0.3844163105557789,-0.6728211084112077,0.6320884876779493,25,#40bd72
American Battery Technology Company,-119.8217446,39.5242032,-0.38359775957892156,-0.6692103990168458,0.6364041174393407,3,#481f70
Tesla Giga Nevada,-119.4399422,39.53570729999999,-0.37906703951039145,-0.6716404123228488,0.6365589808427975,36,#fde725
Ascend Elements,-83.84230749999999,33.6122481,0.08933080554159081,-0.8279980170998082,0.5535695898982134,30,#90d743
