Name,Capacity,lon,lat,x,y,z,cluster,color
Li-Cycle New York Spoke,18000.0,-77.6782912,43.1981518,0.1555670282260379,-0.7121982539653458,0.6845235911037926,2,#fde725
Li-Cycle Arizona Spoke,18000.0,-114.1539327,33.5323853,-0.34108964023663385,-0.7605938467950318,0.5524082344976218,0,#440154
Ecobat Casa Grande,10000.0,-111.784761,32.8897493,-0.31163651657015873,-0.7797482743468341,0.5430242261567633,0,#440154
Li-Cycle Alabama Spoke,10000.0,-87.639989,33.219809,0.034448747849603646,-0.8358653815377293,0.5478524871882765,1,#21918c
ACE Green Recycling,20000.0,-95.4628112,29.7386312,-0.0826615981528118,-0.8643536248087688,0.49604422330147663,1,#21918c
American Battery Technology Company,20000.0,-119.8217446,39.5242032,-0.38359775957892156,-0.6692103990168458,0.6364041174393407,0,#440154
"Ascend Elements, Inc.",30000.0,-83.8423075,33.6122481,0.08933080554159062,-0.8279980170998082,0.5535695898982134,1,#21918c
